"","species","Longitude","Latitude","occ","coords.x1","coords.x2"
"1","Lutjanus Griseus",-88.245556,30.241389,1,-88.245556,30.241389
"2","Lutjanus Griseus",-88.122778,30.256944,1,-88.122778,30.256944
"3","Lutjanus Griseus",-72.602463,18.864058,1,-72.602463,18.864058
"4","Lutjanus Griseus",-81.591005,24.600625,1,-81.591005,24.600625
"5","Lutjanus Griseus",-80.070513,26.943953,1,-80.070513,26.943953
"6","Lutjanus Griseus",-76.24438,25.196266,1,-76.24438,25.196266
"7","Lutjanus Griseus",-84.510902,29.914499,1,-84.510902,29.914499
"8","Lutjanus Griseus",-74.252197,39.559502,1,-74.252197,39.559502
"9","Lutjanus Griseus",-65.959602,17.971201,1,-65.959602,17.971201
"10","Lutjanus Griseus",-65.770401,18.367001,1,-65.770401,18.367001
"11","Lutjanus Griseus",-80.555878,25.068185,1,-80.555878,25.068185
"12","Lutjanus Griseus",-80.37912,25.44834,1,-80.37912,25.44834
"13","Lutjanus Griseus",-82.019,25.761667,1,-82.019,25.761667
"14","Lutjanus Griseus",-97.04556,27.08389,1,-97.04556,27.08389
"15","Lutjanus Griseus",-93.87473,29.73694,1,-93.87473,29.73694
"16","Lutjanus Griseus",-95.55527,28.95083,1,-95.55527,28.95083
"17","Lutjanus Griseus",-96.9,28.15,1,-96.9,28.15
"18","Lutjanus Griseus",-92.8536,29.7367,1,-92.8536,29.7367
"19","Lutjanus Griseus",-94.7272,29.3317,1,-94.7272,29.3317
"20","Lutjanus Griseus",-97.0119,27.8892,1,-97.0119,27.8892
"21","Lutjanus Griseus",-81.192984,29.581474,1,-81.192984,29.581474
"22","Lutjanus Griseus",-81.13394,29.468958,1,-81.13394,29.468958
"23","Lutjanus Griseus",-81.104583,29.413253,1,-81.104583,29.413253
"24","Lutjanus Griseus",-82.006333,25.265667,1,-82.006333,25.265667
"25","Lutjanus Griseus",-64.724517,18.32045,1,-64.724517,18.32045
"26","Lutjanus Griseus",-83.560722,29.779167,1,-83.560722,29.779167
"27","Lutjanus Griseus",-81.384099,26.067631,1,-81.384099,26.067631
"28","Lutjanus Griseus",-82.3615,26.306333,1,-82.3615,26.306333
"29","Lutjanus Griseus",-81.828667,25.139833,1,-81.828667,25.139833
"30","Lutjanus Griseus",-82.087833,25.919167,1,-82.087833,25.919167
"31","Lutjanus Griseus",-81.769222,25.624528,1,-81.769222,25.624528
"32","Lutjanus Griseus",-82.971667,26.821667,1,-82.971667,26.821667
"33","Lutjanus Griseus",-85.134917,30.0895,1,-85.134917,30.0895
"34","Lutjanus Griseus",-81.844722,25.653222,1,-81.844722,25.653222
"35","Lutjanus Griseus",-81.921278,25.660889,1,-81.921278,25.660889
"36","Lutjanus Griseus",-74.013472,40.720937,1,-74.013472,40.720937
"37","Lutjanus Griseus",-81.778864,26.125284,1,-81.778864,26.125284
"38","Lutjanus Griseus",-72.435091,40.847018,1,-72.435091,40.847018
"39","Lutjanus Griseus",-96.864702,27.027558,1,-96.864702,27.027558
"40","Lutjanus Griseus",-96.754006,27.548297,1,-96.754006,27.548297
"41","Lutjanus Griseus",-80.33191,25.463044,1,-80.33191,25.463044
"42","Lutjanus Griseus",-74.167743,40.198024,1,-74.167743,40.198024
"43","Lutjanus Griseus",-81.117084,22.115204,1,-81.117084,22.115204
"44","Lutjanus Griseus",-71.386362,41.487172,1,-71.386362,41.487172
"45","Lutjanus Griseus",-82.315092,25.67148,1,-82.315092,25.67148
"46","Lutjanus Griseus",-71.958958,41.341486,1,-71.958958,41.341486
"47","Lutjanus Griseus",-71.577546,41.188355,1,-71.577546,41.188355
"48","Lutjanus Griseus",-80.064427,27.039603,1,-80.064427,27.039603
"49","Lutjanus Griseus",-86.645584,30.248413,1,-86.645584,30.248413
"50","Lutjanus Griseus",-96.466428,27.42739,1,-96.466428,27.42739
"51","Lutjanus Griseus",-86.436152,16.356533,1,-86.436152,16.356533
"52","Lutjanus Griseus",-75.686133,10.153997,1,-75.686133,10.153997
"53","Lutjanus Griseus",-76.652,34.1445,1,-76.652,34.1445
"54","Lutjanus Griseus",-74.029404,40.064648,1,-74.029404,40.064648
"55","Lutjanus Griseus",-74.156093,40.141008,1,-74.156093,40.141008
"56","Lutjanus Griseus",-81.260187,24.662855,1,-81.260187,24.662855
"57","Lutjanus Griseus",-80.075761,26.362447,1,-80.075761,26.362447
"58","Lutjanus Griseus",-74.063471,40.147652,1,-74.063471,40.147652
"59","Lutjanus Griseus",-60.890883,14.411057,1,-60.890883,14.411057
