,location_name,diver,buddy,orig_lat,orig_lon,sample_collection_date,year,visibility_m,direction,depth_m,method,block,taxon_id,scientific_name,invert_count,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,habitat,transect_decimal_latitude,transect_decimal_longitude,event,orig_scientific_name,rank,valid_name,kingdom,phylum,class,order,family,genus,total_count
1,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,asa,Abudefduf saxatilis,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Abudefduf saxatilis,Species,Abudefduf saxatilis,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,9
2,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,asa,Abudefduf saxatilis,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Abudefduf saxatilis,Species,Abudefduf saxatilis,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,3
3,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,ach,Acanthurus chirurgus,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus chirurgus,Species,Acanthurus chirurgus,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,4
4,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,ach,Acanthurus chirurgus,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus chirurgus,Species,Acanthurus chirurgus,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,2
5,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,aco,Acanthurus coeruleus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus coeruleus,Species,Acanthurus coeruleus,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,1
6,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,aco,Acanthurus coeruleus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus coeruleus,Species,Acanthurus coeruleus,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,1
7,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,cro,Canthigaster rostrata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Canthigaster rostrata,Species,Canthigaster rostrata,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,1
8,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,2,1,cxa,Cassiopea xamachana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Cassiopea xamachana,Species,Cassiopea xamachana,Animalia,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,1
9,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,2,1,cli,Cerithium litteratum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Cerithium litteratum,Species,Cerithium litteratum,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Cerithium,2
10,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,cca,Chaetodon capistratus,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Chaetodon capistratus,Species,Chaetodon capistratus,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,3
