,SpeciesID,Phylum,CLASS,Order,FAMILY,Genus,SPECIES_NAME,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,a,b,cf,SGFGu,Notes
1,4586,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus bahianus,Acanthurus bahianus,Acanthurus bahianus,0.0237,2.975,0.908265213,S,NA
2,4588,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus,Acanthurus coeruleus,Acanthurus coeruleus,0.0415,2.835,0.928936368,S,NA
4,4587,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chirurgus,Acanthurus chirurgus,Acanthurus chirurgus,0.0041,3.533,0.953288847,S,NA
5,4631,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,Apogon townsendi,Apogon townsendi,Apogon townsendi,0.0124,3.284,0.941619586,G,NA
6,4372,Chordata,Actinopterygii,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus maculatus,Aulostomus maculatus,Aulostomus maculatus,2.00E-04,3.514,1,G,NA
7,4380,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Balistes,Balistes vetula,Balistes vetula,Balistes vetula,0.0109,3.23,1,S,NA
9,1844,Chordata,Actinopterygii,Beloniformes,Belonidae,Tylosurus,Tylosurus crocodilus,Tylosurus crocodilus,Tylosurus crocodilus,6.00E-04,3.285,0.9578544,NA,NA
10,4766,Chordata,Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius marmoreus,Parablennius marmoreus,Parablennius marmoreus,0.0084,3.241,1,G,NA
13,2956,Chordata,Actinopterygii,Perciformes,Carangidae,Elagatis,Elagatis bipinnulata,Elagatis bipinnulata,Elagatis bipinnulata,0.0199,2.995,0.859845228,F,NA
14,3712,Chordata,Actinopterygii,Perciformes,Carangidae,Caranx,Caranx crysos,Caranx crysos,Caranx crysos,0.0169,3.02,1,S,NA
15,4419,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides bartholomaei,Carangoides bartholomaei,Carangoides bartholomaei,0.034,2.84,0.870574579,S,NA
16,6851,Chordata,Actinopterygii,Perciformes,Carangidae,Decapterus,Decapterus punctatus,Decapterus punctatus,Decapterus punctatus,0.0119,2.99,1,S,NA
19,4420,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides ruber,Caranx ruber,Caranx ruber,0.034,2.84,0.870574579,G,NA
20,4577,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria aspera,Acanthemblemaria aspera,Acanthemblemaria aspera,0.0063,3.217,1,G,NA
21,4167,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon striatus,Chaetodon striatus,Chaetodon striatus,0.0222,3.14,1,S,NA
22,4163,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon ocellatus,Chaetodon ocellatus,Chaetodon ocellatus,0.0318,2.984,1,S,NA
23,4440,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon capistratus,Chaetodon capistratus,Chaetodon capistratus,0.047,2.86,1,S,NA
24,4984,Chordata,Actinopterygii,Perciformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus pinos,Amblycirrhitus pinos,Amblycirrhitus pinos,0.0026,3.427,1,S,NA
26,1565,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,Diodon holocanthus,Diodon holocanthus,Diodon holocanthus,0.0219,3,1,S,NA
