...1,location_name,diver,buddy,orig_lat,orig_lon,sample_collection_date,year,visibility_m,direction,depth_m,method,block,taxon_id,scientific_name,habitat,transect_decimal_latitude,transect_decimal_longitude,event,orig_scientific_name,rank,kingdom,phylum,class,order,family,genus,size_class,size_count
1,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,asa,Abudefduf saxatilis,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Abudefduf saxatilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,5,9
2,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,asa,Abudefduf saxatilis,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Abudefduf saxatilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,5,3
3,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,ach,Acanthurus chirurgus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus chirurgus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,7.5,4
4,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,ach,Acanthurus chirurgus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus chirurgus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,7.5,1
4,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,ach,Acanthurus chirurgus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus chirurgus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,10,1
5,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,aco,Acanthurus coeruleus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus coeruleus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,5,1
6,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,aco,Acanthurus coeruleus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Acanthurus coeruleus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,10,1
7,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,cro,Canthigaster rostrata,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Canthigaster rostrata,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,5,1
10,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,cca,Chaetodon capistratus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Chaetodon capistratus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,5,3
11,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,cca,Chaetodon capistratus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Chaetodon capistratus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,5,3
12,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,coc,Chaetodon ocellatus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Chaetodon ocellatus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,7.5,1
17,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,eme,Eucinostomus melanopterus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Eucinostomus melanopterus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Gerreidae,Eucinostomus,5,1
20,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,hfl,Haemulon flavolineatum,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Haemulon flavolineatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,5,2
20,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,hfl,Haemulon flavolineatum,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Haemulon flavolineatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,7.5,13
21,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,hpl,Haemulon plumierii,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Haemulon plumierii,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,7.5,3
22,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,hsc,Haemulon sciurus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Haemulon sciurus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,5,6
22,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,hsc,Haemulon sciurus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Haemulon sciurus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,7.5,10
22,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,hsc,Haemulon sciurus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Haemulon sciurus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,10,1
23,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,hsc,Haemulon sciurus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Haemulon sciurus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,15,1
24,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,hbi,Halichoeres bivittatus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Halichoeres bivittatus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Halichoeres,7.5,5
24,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,hbi,Halichoeres bivittatus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Halichoeres bivittatus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Halichoeres,10,3
25,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,hbi,Halichoeres bivittatus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Halichoeres bivittatus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Halichoeres,5,1
28,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,hpu,Hypoplectrus puella,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Hypoplectrus puella,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Hypoplectrus,7.5,1
